M/Z Value,Intensity,Drift Time,Line,Frame Num
800.55414,112.0,212.0,26,98
800.55414,122.0,213.0,26,98
800.55414,113.0,214.0,26,98
800.55414,113.0,215.0,26,98
800.55414,107.0,213.0,26,99
800.56396,102.0,213.0,26,99
800.55414,101.0,214.0,26,100
800.55414,101.0,215.0,26,100
800.56396,106.0,216.0,28,142
800.55414,122.0,217.0,28,142
800.56396,139.0,217.0,28,142
800.55414,146.0,218.0,28,142
800.56396,157.0,218.0,28,142
800.55414,146.0,219.0,28,142
800.56396,151.0,219.0,28,142
800.55414,127.0,220.0,28,142
800.56396,135.0,220.0,28,142
800.55414,104.0,221.0,28,142
800.56396,118.0,221.0,28,142
800.55414,108.0,215.0,28,143
800.55414,108.0,216.0,28,143
800.55414,143.0,217.0,28,143
800.56396,116.0,217.0,28,143
800.55414,142.0,218.0,28,143
800.56396,117.0,218.0,28,143
800.55414,119.0,219.0,28,143
800.56396,103.0,219.0,28,143
800.55414,103.0,212.0,28,144
800.55414,122.0,213.0,28,144
800.55414,136.0,214.0,28,144
800.55414,146.0,215.0,28,144
800.56396,108.0,215.0,28,144
800.55414,127.0,216.0,28,144
800.56396,108.0,216.0,28,144
800.55414,101.0,211.0,28,145
800.5444,101.0,212.0,28,145
800.55414,127.0,212.0,28,145
800.56396,105.0,212.0,28,145
800.5444,101.0,213.0,28,145
800.55414,137.0,213.0,28,145
800.56396,117.0,213.0,28,145
800.5444,101.0,214.0,28,145
800.55414,137.0,214.0,28,145
800.56396,117.0,214.0,28,145
800.5444,101.0,215.0,28,145
800.55414,137.0,215.0,28,145
800.56396,117.0,215.0,28,145
800.55414,109.0,216.0,28,145
800.55414,116.0,213.0,28,146
800.56396,105.0,213.0,28,146
800.55414,116.0,214.0,28,146
800.56396,105.0,214.0,28,146
800.55414,116.0,215.0,28,146
800.56396,105.0,215.0,28,146
800.55414,106.0,217.0,30,133
800.55414,106.0,218.0,30,133
800.55414,106.0,219.0,30,133
800.55414,101.0,214.0,30,134
800.55414,101.0,215.0,30,134
800.55414,125.0,216.0,30,134
800.55414,141.0,217.0,30,134
800.55414,125.0,218.0,30,134
800.56396,101.0,218.0,30,134
800.55414,102.0,219.0,30,134
800.56396,101.0,219.0,30,134
800.55414,106.0,214.0,30,135
800.56396,108.0,214.0,30,135
800.55414,128.0,215.0,30,135
800.56396,126.0,215.0,30,135
800.55414,109.0,216.0,30,135
800.56396,108.0,216.0,30,135
800.55414,109.0,217.0,30,135
800.55414,102.0,211.0,30,136
800.55414,122.0,212.0,30,136
800.55414,132.0,213.0,30,136
800.55414,132.0,214.0,30,136
800.55414,113.0,215.0,30,136
800.55414,124.0,211.0,30,137
800.55414,124.0,212.0,30,137
800.55414,124.0,213.0,30,137
800.55414,124.0,214.0,30,137
800.55414,104.0,215.0,30,137
800.56396,107.0,215.0,31,33
800.56396,121.0,216.0,31,33
800.56396,106.0,217.0,31,33
800.55414,110.0,209.0,33,24
800.55414,110.0,210.0,33,24
800.5444,104.0,211.0,33,24
800.55414,131.0,211.0,33,24
800.5444,114.0,212.0,33,24
800.55414,150.0,212.0,33,24
800.56396,105.0,212.0,33,24
800.5444,114.0,213.0,33,24
800.55414,150.0,213.0,33,24
800.56396,105.0,213.0,33,24
800.5444,101.0,214.0,33,24
800.55414,128.0,214.0,33,24
800.56396,105.0,214.0,33,24
800.55414,121.0,210.0,33,25
800.5444,104.0,211.0,33,25
800.55414,142.0,211.0,33,25
800.56396,107.0,211.0,33,25
800.5444,117.0,212.0,33,25
800.55414,167.0,212.0,33,25
800.56396,129.0,212.0,33,25
800.5444,117.0,213.0,33,25
800.55414,190.0,213.0,33,25
800.56396,129.0,213.0,33,25
800.5444,107.0,214.0,33,25
800.55414,194.0,214.0,33,25
800.56396,132.0,214.0,33,25
800.55414,176.0,215.0,33,25
800.56396,121.0,215.0,33,25
800.55414,153.0,216.0,33,25
800.56396,106.0,216.0,33,25
800.55414,123.0,217.0,33,25
800.55414,102.0,218.0,33,25
800.55414,118.0,213.0,33,26
800.56396,101.0,213.0,33,26
800.5444,103.0,214.0,33,26
800.55414,147.0,214.0,33,26
800.56396,101.0,214.0,33,26
800.5444,118.0,215.0,33,26
800.55414,159.0,215.0,33,26
800.56396,110.0,215.0,33,26
800.5444,119.0,216.0,33,26
800.55414,181.0,216.0,33,26
800.56396,127.0,216.0,33,26
800.5444,119.0,217.0,33,26
800.55414,158.0,217.0,33,26
800.56396,108.0,217.0,33,26
800.5444,102.0,218.0,33,26
800.55414,137.0,218.0,33,26
800.55414,112.0,219.0,33,26
800.55414,103.0,211.0,35,71
800.55414,135.0,212.0,35,71
800.55414,154.0,213.0,35,71
800.56396,113.0,213.0,35,71
800.55414,154.0,214.0,35,71
800.56396,113.0,214.0,35,71
800.55414,143.0,215.0,35,71
800.56396,113.0,215.0,35,71
800.55414,122.0,216.0,35,71
